framboise,Macarons framboise Mamitou,4.5,52 min,true
framboise,Bavarois framboise-chocolat,4.8,1h10,true
farine,Tortillas (recette sans farine de maïs),4.7,22 min,false
fraise,Milkshake fraise et beurre de cacahuètes SKIPPY®️,0,10 min,false
chocolat,Fondant au chocolat,4.6,35 min,false
pizza,pizza hawai with pineapple,5,"",false
pizza,Pâte à pizza épaisse et moelleuse,4.6,35 min,false
banane,Muffins à la banane,4.7,30 min,false
sucre,Sucré-salé,4.6,2h50,false
banane,flambee,4.5,30min,false
banane,au chocolat,5,10min,false
